STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,size_feet,size_acres,size_acre_Canopy
21,007,00516850,0500000US21007,21007,Ballard,06,639387454.000000000000000,69473325.000000000000000,7626652413.399999618530273,175083.847873999999138,57048
21,017,00516855,0500000US21017,21017,Bourbon,06,750439351.000000000000000,4829777.000000000000000,8129732184.130000114440918,186632.970250999991549,27720
21,031,00516862,0500000US21031,21031,Butler,06,1103571974.000000000000000,13943044.000000000000000,12031776179.500000000000000,276211.574368999979924,179349
21,065,00516879,0500000US21065,21065,Estill,06,655509930.000000000000000,6516335.000000000000000,7127855480.180000305175781,163633.045917999988887,136980
21,069,00516881,0500000US21069,21069,Fleming,06,902727151.000000000000000,7182793.000000000000000,9794208428.309999465942383,224844.086967999988701,104144
21,093,00516893,0500000US21093,21093,Hardin,06,1614569777.000000000000000,17463238.000000000000000,17571895201.099998474121094,403395.206637000024784,201289
21,099,00516896,0500000US21099,21099,Hart,06,1068530028.000000000000000,13692536.000000000000000,11647551741.700000762939453,267390.994989000027999,151029
21,131,00516912,0500000US21131,21131,Leslie,06,1038206077.000000000000000,9189732.000000000000000,11274491858.500000000000000,258826.718514999985928,251100
21,151,00516919,0500000US21151,21151,Madison,06,1132729653.000000000000000,15306635.000000000000000,12357204846.299999237060547,283682.388573999982327,133249
21,155,00516921,0500000US21155,21155,Marion,06,888463701.000000000000000,9891797.000000000000000,9670350817.319999694824219,222000.707468000007793,105777
21,179,00516936,0500000US21179,21179,Nelson,06,1081354961.000000000000000,16997384.000000000000000,11822855457.500000000000000,271415.414542999991681,135576
21,189,00516941,0500000US21189,21189,Owsley,06,511282852.000000000000000,2285942.000000000000000,5527670772.329999923706055,126897.859786999993958,116371
21,195,00516944,0500000US21195,21195,Pike,06,2037621826.000000000000000,4756763.000000000000000,21986265468.900001525878906,504735.203602000023238,471342
21,217,00516955,0500000US21217,21217,Taylor,06,689890901.000000000000000,27072829.000000000000000,7721556794.899999618530273,177262.552683999994770,86280
21,237,00516965,0500000US21237,21237,Wolfe,06,575419095.000000000000000,1505159.000000000000000,6210341120.220000267028809,142569.814513999997871,126079
21,239,00516966,0500000US21239,21239,Woodford,06,492385588.000000000000000,4933906.000000000000000,5352573964.699999809265137,122878.190191000001505,31391
21,229,00516961,0500000US21229,21229,Washington,06,769158641.000000000000000,10943101.000000000000000,8396457797.789999961853027,192756.147790999995777,89704
21,231,00516962,0500000US21231,21231,Wayne,06,1186690636.000000000000000,67283902.000000000000000,13495689979.000000000000000,309818.410903999989387,226127
21,005,00516849,0500000US21005,21005,Anderson,06,523492152.000000000000000,5593051.000000000000000,5694956032.239999771118164,130738.200924000004306,85211
21,025,00516859,0500000US21025,21025,Breathitt,06,1275352702.000000000000000,7384543.000000000000000,13806261167.700000762939453,316948.144345999986399,302691
21,029,00516861,0500000US21029,21029,Bullitt,06,769306782.000000000000000,8374788.000000000000000,8371454314.489999771118164,192182.146796999993967,141290
21,033,00516863,0500000US21033,21033,Caldwell,06,893002030.000000000000000,8697603.000000000000000,9701228349.270000457763672,222709.558064000011655,107297
21,043,00516868,0500000US21043,21043,Carter,06,1060587166.000000000000000,6788532.000000000000000,11489729856.600000381469727,263767.903043999976944,223671
21,049,00516871,0500000US21049,21049,Clark,06,653935807.000000000000000,6915925.000000000000000,7112363220.180000305175781,163277.392565999994986,58488
